Date,Time,Store,Category,Price,Payment
2020-10-10,20:55,San Jose,Men's Clothing,214.05,Amex
2020-05-05,07:11,Fort Worth,Women's Clothing,153.57,Visa
2001-07-11,10:41,San Diego,Music,66.08,Cash
2008-07-14,17:12,Pittsburgh,Pet Supplies,493.51,Discover
2018-06-04,05:33,Omaha,Children's Clothing,235.63,MasterCard
2012-06-14,12:10,Stockton,Men's Clothing,247.18,MasterCard
2017-09-23,20:55,Austin,Cameras,379.6,Visa
2012-11-17,02:43,New York,Consumer Electronics,296.8,Cash
2003-02-21,00:40,Corpus Christi,Toys,25.38,Discover
2009-08-22,03:10,Fort Worth,Toys,213.88,Visa
2004-10-21,05:03,Las Vegas,Video Games,53.26,Visa
2012-05-24,05:18,Newark,Video Games,39.75,Cash
2004-03-13,05:29,Austin,Cameras,469.63,MasterCard
2015-05-03,08:33,Greensboro,DVDs,290.82,MasterCard
2013-07-26,23:06,San Francisco,Music,260.65,Discover
2018-10-23,18:39,Lincoln,Garden,136.9,Visa
2000-07-10,02:34,Buffalo,Women's Clothing,483.82,Visa
2016-08-11,16:14,San Jose,Women's Clothing,215.82,Cash
2002-05-21,00:13,Boston,Cameras,418.94,Amex
2005-01-10,14:56,Houston,Baby,309.16,Visa
2020-07-04,15:16,Las Vegas,Books,93.39,Visa
2009-07-24,07:09,Virginia Beach,Children's Clothing,376.11,Amex
2015-02-07,10:43,Riverside,Consumer Electronics,252.88,Cash
2002-02-22,19:04,Tulsa,Baby,205.06,Visa
2003-07-20,04:12,Reno,Crafts,88.25,Visa
2017-12-18,07:32,Chicago,Books,31.08,Cash
2009-10-23,23:31,Fort Wayne,Men's Clothing,370.55,Amex
2009-05-06,12:33,San Bernardino,Consumer Electronics,170.2,Cash
2013-10-15,02:57,Madison,Men's Clothing,16.78,Visa
2016-07-04,15:07,Austin,Sporting Goods,327.75,Discover
2004-01-16,17:02,Portland,CDs,108.69,Amex
2000-01-26,20:42,Riverside,Sporting Goods,15.41,Discover
2004-03-05,22:54,Reno,Toys,80.46,Visa
2008-08-19,01:21,Anchorage,Music,298.86,MasterCard
2004-12-15,05:08,Pittsburgh,Sporting Goods,475.26,Amex
2020-09-19,22:50,Spokane,Garden,3.85,Amex
2007-02-28,12:57,Spokane,Computers,287.65,MasterCard
2002-09-02,02:05,Fresno,CDs,466.64,MasterCard
2008-06-15,06:36,Omaha,Baby,255.68,MasterCard
2016-01-23,01:07,Anchorage,DVDs,6.38,Amex
2019-05-10,17:17,Aurora,Consumer Electronics,117.81,MasterCard
2003-05-20,08:28,Philadelphia,DVDs,351.31,Cash
2008-07-01,23:06,Fremont,Baby,222.61,Cash
2012-06-26,07:36,Anchorage,Crafts,22.36,Amex
2018-11-02,01:26,Norfolk,Women's Clothing,189.01,Amex
2014-09-19,16:34,Chandler,Books,414.08,Cash
2009-12-03,10:22,Minneapolis,Computers,182.05,Visa
2010-12-22,16:13,Honolulu,Cameras,345.18,Discover
2000-02-01,12:00,Indianapolis,Books,135.96,Discover
2000-04-22,04:34,Chandler,Books,344.09,Discover
2010-12-28,11:04,Saint Paul,Crafts,33.13,Amex
2006-05-17,17:27,New York,Garden,18.27,Discover
2001-07-24,18:42,Greensboro,Computers,140.94,Discover
2017-07-22,01:52,Spokane,Toys,157.48,MasterCard
2015-09-14,02:40,Boise,Video Games,350.55,Discover
2018-11-13,00:59,Fresno,Crafts,196.83,Visa
2015-05-04,19:02,Durham,Toys,425.79,Visa
2008-06-16,16:23,Riverside,CDs,472.71,Cash
2008-01-17,14:41,Lexington,Women's Clothing,359.29,Visa
2014-11-08,23:49,Durham,Health and Beauty,131.97,Visa
2006-02-12,17:48,Garland,Garden,134.33,Discover
